CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,target
1.0,0.0,1.73,3.18,11.0,6.91,149.83,6.0,5.0,2.91,12.09,0.99,1.0,128.29,0.55,14.0,1.0,2.0,6.78,0.0,1.0,0.97,0.0,266.16,0.4,0.0,0.73,1
6.0,-4.36,-1.62,29.95,18.72,4.74,249.56,4.74,-0.87,-29.4,3.66,1.35,1.87,92.13,4.74,1.0,-2.36,2.0,-0.0,1.87,1.0,0.34,0.0,-7.95,1.17,0.0,-0.74,0
3.0,9.87,1.13,0.0,0.0,25.39,846.88,1.0,1.0,18.0,36.4,0.99,-1.46,86.0,3.0,0.87,49.33,0.13,7.6,6.06,2.73,0.93,0.0,55.0,0.86,0.0,2.87,1
-28.28,1.79,1.0,-6.28,2.36,5.5,-19.41,-2.14,2.36,-6.07,2.72,0.61,0.0,62.36,0.43,6.28,5.57,2.0,3.1,0.0,1.0,0.77,0.0,-19.92,0.93,0.0,0.79,0
1.68,3.32,1.17,1.66,-1.66,4.0,406.34,1.0,6.63,32.41,52.27,0.35,0.34,87.12,0.17,6.63,37.51,1.83,8.99,1.0,-0.66,1.62,0.0,-55.95,0.95,0.0,1.83,1
-1.47,0.0,1.0,-22.0,0.0,15.53,-724.83,1.0,-66.75,-0.2,6.0,3.93,-10.2,-25.01,-1.2,0.73,-6.74,2.0,0.99,2.73,3.0,0.41,0.0,6.0,0.92,0.0,1.0,0
0.86,-0.72,5.0,0.0,0.0,9.99,51.68,1.0,-1.72,9.43,6.29,0.28,13.0,17.71,2.14,0.0,20.14,1.86,13.74,6.86,2.0,3.31,2.0,7.72,0.77,0.0,2.72,1
-0.7,3.09,1.0,0.0,0.0,0.91,72.94,1.0,1.0,12.47,11.38,0.14,1.4,74.19,2.4,2.0,11.58,2.7,4.06,0.0,0.7,2.02,0.0,7.4,0.97,0.0,1.7,1
0.0,1.22,1.0,0.0,-0.61,10.38,57.86,1.0,0.0,1.61,9.17,0.75,0.61,48.85,1.0,1.83,10.33,1.0,29.54,3.83,0.39,0.29,0.0,-102.69,1.09,0.0,0.61,0
-2.91,0.0,1.0,-0.97,-1.94,12.0,33.77,1.0,-1.94,-0.97,4.06,15.63,3.97,-64.02,-0.97,10.97,-4.82,-0.97,2.64,-0.94,0.0,0.23,0.0,6.0,0.85,0.0,2.0,0
4.81,1.6,1.0,1.2,6.01,41.59,46.36,1.0,-1.2,-1.2,-3.01,7.45,3.01,22.25,-1.2,1.0,-3.81,0.0,4.17,3.6,1.0,0.86,0.0,-2.42,0.95,0.0,-0.6,0
0.0,0.0,1.0,-0.84,0.0,5.69,26.59,1.0,0.0,0.0,1.84,-2.82,9.22,-84.34,5.37,-0.84,36.28,1.0,51.16,47.78,27.84,1.63,1.0,6.84,0.97,0.0,2.69,1
3.17,2.33,-0.75,1.17,-10.66,41.17,472.55,1.0,6.83,12.24,27.07,1.14,5.83,18.07,5.17,4.66,38.99,1.58,8.42,2.42,0.42,1.55,0.0,53.23,0.88,0.0,1.58,1
3.0,-6.35,1.0,3.0,1.0,20.75,157.47,1.0,0.0,-2.82,8.64,1.54,0.0,42.14,0.29,3.53,6.64,0.29,1.62,-1.41,0.29,0.75,0.0,6.0,0.94,0.0,1.71,0
1.81,0.0,1.0,-0.81,0.0,6.51,31.26,0.19,0.81,10.0,2.12,0.52,0.81,75.37,-1.44,0.0,10.14,1.81,3.43,1.0,1.0,1.53,0.0,-134.81,0.6,0.0,1.0,0
8.34,0.0,1.0,1.34,-5.28,8.66,105.84,-2.31,-3.31,6.32,-0.97,0.37,2.34,47.24,5.66,-9.26,7.95,0.34,2.58,1.0,3.0,2.08,0.0,-179.32,1.34,0.0,4.66,0
-6.09,2.61,15.66,66.92,7.83,16.53,29.14,1.0,-7.83,-16.88,-13.05,0.61,10.44,-8.7,-1.61,-2.61,-38.9,1.0,6.94,1.74,0.87,1.85,0.0,-16.85,0.44,0.0,4.74,0
1.01,3.03,10.1,8.09,5.56,25.15,333.86,1.0,0.0,0.0,6.51,11.45,10.08,42.48,-2.53,9.49,2.52,0.0,8.4,1.51,0.0,2.12,0.0,13.58,0.83,0.0,4.53,0
5.0,0.0,1.0,2.0,0.0,3.03,100.82,1.0,7.96,1.99,1.0,0.58,3.99,100.48,2.03,12.81,0.1,2.97,33.51,-0.99,0.01,1.6,0.0,4.25,1.06,0.0,-0.97,0
-2.84,0.0,1.0,-1.13,1.7,-0.13,6.29,1.0,-2.27,0.43,4.7,1.54,0.3,-4.43,0.87,0.0,4.3,1.0,4.55,2.0,2.0,1.06,0.0,-2.51,0.93,0.0,-0.57,0
1.0,0.0,1.0,0.0,0.0,9.6,161.76,1.0,0.0,9.63,13.63,0.03,2.6,113.1,1.19,-0.6,18.63,2.0,5.39,1.0,0.4,1.92,0.0,8.0,0.96,0.0,3.6,1
5.92,1.0,1.0,9.86,6.9,1.97,48.78,1.0,0.0,-0.99,-1.97,2.9,0.99,41.41,1.01,1.0,-0.96,2.0,5.8,3.03,0.03,0.96,0.0,6.0,0.9,0.0,0.0,0
0.0,0.0,0.31,-2.06,3.0,3.69,31.94,1.0,1.0,-2.75,-2.19,6.67,0.69,-44.69,4.06,3.44,4.0,1.0,1.55,0.0,0.31,-0.52,0.0,6.0,0.87,0.0,-0.69,0
-0.56,7.81,1.0,0.0,0.0,6.75,397.13,1.0,2.56,3.19,35.99,0.84,-1.12,51.71,4.0,5.93,30.49,0.44,2.44,0.0,0.0,0.22,0.0,45.99,0.9,0.0,2.56,1
2.0,0.51,2.0,17.0,5.0,1.51,31.96,1.0,2.0,0.0,0.49,-1.66,4.01,74.0,2.52,-0.51,8.55,1.0,8.81,2.51,5.01,3.38,1.0,21.0,1.0,0.0,2.0,0
0.0,18.0,1.8,-14.41,2.4,12.4,290.41,1.0,0.8,8.0,9.2,4.86,0.0,100.0,1.6,2.0,11.2,0.8,4.69,1.0,0.8,0.0,0.0,58.0,0.86,0.0,1.0,0
2.54,-24.71,3.32,0.23,11.0,-0.63,-137.12,6.0,4.23,19.3,36.62,-0.11,0.23,80.23,2.0,14.0,-10.58,2.0,6.23,0.0,1.77,1.08,0.0,348.35,0.03,0.0,1.54,0
5.97,1.0,1.0,14.32,6.56,12.19,115.74,1.0,0.0,0.0,1.0,-2.34,3.19,56.67,4.6,-0.6,10.6,1.6,4.8,1.4,2.0,1.67,0.6,8.98,0.97,0.0,0.0,1
8.45,0.55,1.0,2.0,2.0,10.19,132.83,1.0,0.0,-0.47,0.26,1.21,3.0,36.88,6.09,0.55,0.91,1.0,3.21,0.45,3.0,1.56,0.0,39.0,1.1,0.0,3.45,1
-3.29,-29.59,1.0,-0.82,0.0,-2.47,-329.45,1.0,-1.64,-8.68,5.64,1.62,-0.82,-28.07,2.64,0.0,-18.08,0.18,-4.73,1.0,1.82,-0.35,0.0,6.0,0.93,0.0,-0.82,0
-0.77,11.41,1.0,1.0,0.0,-2.36,-30.12,1.0,0.0,-5.03,-7.26,0.4,-1.18,33.56,0.41,0.0,-5.62,-0.18,2.13,1.59,1.0,1.74,0.0,5.41,0.92,0.0,-0.18,0
2.0,4.97,1.0,27.52,0.0,12.0,1371.26,1.0,92.66,4.66,14.42,-0.84,15.52,49.43,7.31,5.8,48.07,1.83,5.82,-0.83,0.83,1.87,0.0,22.56,0.97,0.0,0.83,0
0.0,-7.79,1.0,-0.98,0.0,13.81,96.97,1.0,1.95,3.93,3.0,1.0,2.98,38.67,4.98,3.91,25.77,1.0,5.94,1.0,1.0,0.89,0.0,6.0,0.93,0.0,2.0,0
2.94,0.0,1.0,6.67,8.82,3.59,120.45,1.0,-0.73,12.49,39.13,1.74,0.8,131.6,-2.94,-0.47,5.73,0.73,7.4,1.0,0.0,0.15,0.0,-160.81,1.04,0.0,3.47,0
0.0,0.0,1.0,2.34,0.0,10.64,239.5,0.34,0.0,1.32,23.0,6.52,0.0,101.32,-1.98,3.0,1.66,1.32,5.18,0.0,0.0,0.02,0.0,-108.21,0.96,0.0,1.0,0
-0.52,3.07,1.0,1.03,-1.03,4.45,252.91,1.0,4.13,11.33,33.48,0.15,2.0,40.5,5.03,4.13,32.02,1.52,4.77,-0.03,0.48,0.77,0.0,75.75,0.86,0.0,3.03,1
3.58,0.0,1.0,3.0,3.9,0.42,71.35,1.0,0.0,0.0,4.74,0.71,0.0,88.0,1.0,0.0,3.9,0.42,30.69,0.0,1.0,1.04,0.0,12.38,0.96,0.0,1.58,1
0.64,-0.64,1.0,0.0,0.64,-2.58,7.62,1.0,0.0,3.36,5.71,1.59,-0.64,54.9,2.36,0.0,-8.66,1.0,0.87,2.0,1.64,-0.43,0.0,36.9,0.97,0.0,-1.29,0
3.79,2.0,3.38,0.0,1.0,44.22,424.02,1.0,2.59,8.0,-1.33,0.83,15.92,85.0,5.0,0.79,60.09,1.0,14.46,0.0,1.79,4.47,0.0,-54.27,1.0,0.0,3.79,0
3.35,0.44,1.0,8.93,5.58,6.67,166.76,2.12,1.0,4.12,15.37,-0.27,1.56,113.92,1.56,0.0,4.0,2.0,1.06,-2.23,0.44,1.51,0.0,6.0,0.96,0.0,1.56,0
6.0,0.0,-1.87,10.0,7.0,-19.95,40.04,1.0,0.96,0.96,9.61,0.36,-10.39,156.28,1.0,0.0,4.91,1.96,-5.27,-0.96,-1.91,0.31,0.0,6.0,0.73,0.0,0.0,0
0.0,0.98,2.96,3.0,0.0,12.91,188.66,1.0,0.0,-3.92,19.08,5.71,0.0,41.14,0.0,1.04,4.92,0.0,12.66,5.89,1.96,2.14,1.96,6.0,1.05,0.0,-0.96,0
-3.93,0.0,1.0,16.84,-2.81,10.61,675.34,1.0,51.07,1.68,-3.49,4.36,7.3,50.51,1.12,9.0,12.22,0.0,2.8,1.44,-0.12,-0.24,0.0,6.0,0.86,0.0,-0.56,0
4.56,-1.71,2.0,17.85,6.71,3.56,116.12,1.0,3.71,0.85,4.42,-3.05,3.85,130.36,1.0,-0.85,10.98,1.0,10.84,2.85,4.0,3.39,1.0,21.0,1.07,0.0,2.85,1
1.0,1.94,1.0,0.0,0.0,10.66,142.31,1.0,1.94,11.94,9.91,-0.66,1.94,151.59,-0.94,-0.97,15.56,1.0,3.54,0.03,0.03,1.66,0.0,6.0,0.66,0.0,1.97,0
-0.58,1.16,0.42,0.0,-1.16,-2.31,76.23,1.0,0.0,0.58,20.94,0.94,-2.31,6.94,3.0,0.58,1.58,1.58,0.17,1.0,1.0,-1.56,0.0,102.0,0.95,0.0,0.0,1
1.52,-3.05,1.0,0.49,0.0,8.02,12.2,1.0,0.0,-1.02,-3.57,4.47,0.0,95.93,1.0,-1.03,6.08,1.0,8.1,8.0,1.0,0.16,0.0,6.0,0.88,0.0,-0.51,0
-8.39,1.0,1.0,-22.54,-10.33,5.43,118.67,1.0,1.94,7.0,14.57,1.26,0.12,-9.21,6.82,1.94,21.51,2.0,4.67,-0.94,1.0,0.7,-0.94,5.3,1.04,0.0,2.94,0
6.0,0.04,2.04,51.94,0.0,8.12,357.03,1.0,1.04,9.92,8.12,0.87,1.0,9.72,2.0,-1.92,9.16,1.04,3.09,0.0,1.0,0.67,0.0,155.81,0.51,0.0,4.92,1
-4.7,0.94,0.06,0.0,0.0,7.0,2.98,1.0,0.0,-14.1,-0.82,2.33,1.12,-73.33,3.88,0.94,-0.64,1.0,-2.39,0.06,6.0,-1.68,0.0,-9.04,1.0,0.0,-0.94,0
10.83,3.0,1.0,14.64,10.23,10.17,592.28,1.0,9.0,18.51,22.57,0.39,2.91,107.72,3.09,3.91,52.0,1.0,6.63,0.0,1.0,1.63,0.0,-408.14,1.06,0.0,3.91,0
52.14,1.63,0.11,13.0,2.0,-1.74,2745.02,1.0,25.74,26.63,49.89,0.26,3.34,144.9,2.37,0.37,50.11,1.0,6.75,-0.63,0.37,0.19,0.0,6.0,0.98,0.0,2.63,1
-0.91,5.0,1.0,0.0,0.0,6.27,360.58,1.0,1.09,7.82,31.55,0.97,-1.82,89.86,3.09,2.0,20.53,1.0,2.76,-1.82,-1.82,-0.78,0.0,37.0,0.92,0.0,1.09,1
9.36,0.56,1.0,0.32,15.6,-2.04,-466.4,3.0,-50.95,0.32,14.44,0.72,-6.28,87.4,1.32,1.0,-15.92,2.0,2.01,2.12,1.56,0.96,0.0,7.68,0.83,0.0,1.56,0
0.0,0.0,1.0,0.0,0.0,-3.18,-0.35,1.0,3.51,1.51,2.28,4.59,-0.49,20.77,-1.23,13.74,-8.15,3.0,30.27,0.74,0.0,-0.52,0.0,6.0,0.92,0.0,-0.74,0
2.07,9.21,10.64,9.57,5.35,20.53,365.98,1.0,0.0,6.46,12.0,0.91,6.96,99.64,1.0,4.0,5.14,2.0,7.5,0.54,0.54,1.53,0.0,-32.55,0.86,0.0,4.68,0
0.0,1.0,1.0,0.0,-15.88,-1.67,-75.68,1.0,0.0,0.0,-15.05,3.0,3.34,0.0,2.84,1.0,15.38,2.0,44.82,47.63,23.74,-0.28,0.84,6.0,0.84,0.0,0.0,0
8.64,5.0,8.41,1.76,2.64,11.58,370.2,1.0,1.88,33.59,33.29,0.13,5.29,115.16,-0.76,1.0,5.24,2.0,9.08,0.0,1.88,2.54,0.0,40.51,0.54,0.0,4.76,1
-32.27,-1.9,-0.95,-20.47,0.0,-5.69,-1359.03,1.0,-16.13,-49.35,-33.22,3.36,-4.75,-59.79,1.9,0.0,-40.81,-4.75,-4.56,0.0,0.0,-1.02,0.0,-335.65,0.93,0.0,-3.8,0
3.87,-1.94,1.0,0.0,0.97,-14.52,19.19,2.94,0.0,10.78,13.78,0.32,-2.9,69.06,3.0,-2.9,-10.62,1.97,-0.82,0.06,1.0,-0.1,0.0,494.03,0.73,0.0,-1.94,0
3.91,5.35,1.0,6.52,4.57,9.96,294.39,1.0,2.0,1.35,14.21,0.84,1.96,92.75,4.0,8.0,20.04,0.35,5.24,-0.65,0.35,2.15,0.0,26.0,0.93,0.0,2.35,1
0.56,0.0,1.0,1.0,0.56,8.13,34.94,1.0,0.0,-0.56,-4.63,5.31,0.56,100.0,2.13,1.0,-0.13,1.0,-6.49,7.44,1.56,-0.26,0.0,33.03,0.88,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.95,74.55,1.0,0.0,6.53,10.63,0.51,1.0,82.71,1.95,0.0,8.53,1.53,4.88,1.0,0.47,1.24,0.0,6.0,0.97,0.0,1.53,0
3.53,0.0,1.71,0.0,0.0,-5.64,-13.8,1.0,0.0,14.58,6.29,-7.83,-0.71,126.02,3.71,-7.05,4.53,1.71,5.35,2.0,1.71,1.35,0.0,17.29,0.86,0.0,-0.71,0
0.0,-7.87,1.0,0.0,0.0,8.41,123.65,1.0,0.59,11.68,18.19,-0.09,3.0,113.79,2.59,11.46,13.91,1.59,7.51,2.18,1.59,0.77,0.0,7.77,0.89,0.0,2.0,1
0.0,1.0,1.0,0.0,0.64,0.64,47.12,1.0,0.64,0.64,1.28,-0.67,1.28,32.09,2.64,-0.93,2.0,2.0,5.8,5.0,2.64,0.32,0.0,165.19,0.89,0.0,0.0,1
-0.92,0.0,1.0,0.0,0.0,-0.92,-58.89,1.0,0.0,-1.66,-5.24,0.86,0.08,-26.5,2.0,0.0,-15.56,1.0,-1.94,2.92,2.92,-0.12,0.0,66.49,0.94,0.0,0.0,0
-1.49,7.72,1.0,0.0,0.0,6.52,69.85,1.0,0.0,-2.24,-5.72,3.22,1.25,-12.69,2.51,0.0,-0.45,0.25,4.12,4.24,2.0,-0.37,0.0,5.25,1.02,0.0,-1.49,0
2.71,0.0,0.1,-12.64,0.9,10.61,100.64,1.0,0.19,2.0,6.0,1.16,14.45,41.19,3.0,0.0,9.1,1.0,-1.08,1.0,-0.81,-0.28,0.0,24.81,0.87,0.0,2.0,0
-2.01,-3.35,1.0,7.04,0.0,11.35,155.73,1.0,7.38,7.38,-4.06,5.08,1.0,108.72,0.0,0.33,-1.35,-0.67,3.15,1.67,0.67,0.71,0.0,3.99,0.89,0.0,1.33,0
3.24,0.0,1.0,7.0,17.0,10.92,227.97,1.0,0.0,2.24,11.52,1.66,0.0,123.89,1.0,1.0,6.6,1.56,114.36,-0.12,0.44,2.07,0.0,6.0,0.97,0.0,1.56,0
4.0,-0.67,1.0,5.0,12.33,-2.01,17.89,1.0,0.0,16.66,43.33,0.12,0.0,68.2,-0.34,0.0,-4.7,2.0,5.22,1.0,4.35,0.64,0.0,25.66,0.93,0.0,1.33,0
0.72,2.89,0.28,0.0,0.0,0.55,37.64,1.0,1.0,0.72,4.39,0.91,-2.89,57.83,4.0,1.0,4.66,-0.45,0.79,0.72,2.45,0.73,0.0,6.0,0.95,0.0,1.0,0
0.0,0.0,1.0,1.1,1.1,1.25,16.51,1.0,0.0,0.0,3.0,3.04,1.0,18.14,2.0,0.55,-1.65,1.0,-1.21,0.0,-0.55,-0.24,0.0,6.0,0.87,0.0,0.0,0
3.01,0.0,1.0,0.0,0.0,3.05,-3.86,1.0,0.0,3.02,-0.95,0.94,-1.98,54.32,0.01,0.0,-0.84,2.0,1.1,0.0,-0.99,0.18,0.0,7.98,0.66,0.0,1.99,0
1.66,0.0,1.0,0.0,2.49,7.98,82.76,1.0,0.0,1.34,11.51,-0.12,6.64,19.52,1.0,0.0,11.83,2.0,6.01,0.83,1.66,2.33,0.83,6.0,0.93,0.0,2.83,0
2.0,-2.96,1.0,30.0,0.0,14.96,1094.58,1.0,89.82,6.55,-11.01,-0.11,20.37,76.99,3.41,-4.73,34.0,1.0,11.47,0.59,0.59,2.39,0.0,-4.06,1.02,0.0,-0.59,0
8.0,1.0,1.73,-11.22,10.0,6.67,64.35,1.0,0.0,0.0,2.47,0.2,5.0,80.0,5.41,0.73,3.47,1.73,6.64,2.73,2.47,2.38,0.0,9.0,0.93,0.0,1.0,0
0.0,9.0,1.0,-0.84,0.0,6.2,259.29,1.0,0.0,4.0,5.2,10.75,2.52,-19.01,0.16,7.56,1.0,0.16,0.36,-2.88,0.16,0.56,0.0,6.0,1.03,0.0,2.68,0
1.0,0.0,0.15,2.54,0.0,9.85,182.29,1.0,1.0,4.0,18.24,4.97,-0.39,128.66,2.31,2.54,8.07,-1.54,7.56,3.0,3.0,1.63,0.0,6.0,0.97,0.0,2.0,0
-3.21,-2.67,-1.6,8.0,0.0,0.53,6.0,1.0,0.0,-20.31,-10.69,3.52,0.0,-50.24,1.6,0.0,1.07,-0.53,-2.84,0.0,0.0,-0.29,0.0,-2.55,1.03,0.0,-1.07,0
0.0,8.99,2.0,-1.0,-2.0,10.99,889.79,1.0,0.0,29.97,58.94,0.4,1.0,110.97,3.0,17.0,50.94,1.0,9.03,0.0,1.0,0.88,0.0,57.92,0.88,0.0,3.0,1
0.0,0.0,1.0,0.0,6.67,2.11,64.67,1.0,0.0,1.3,9.27,0.96,0.35,32.43,1.0,0.0,3.86,1.0,2.18,1.0,1.0,0.47,0.0,6.0,0.99,0.0,0.35,0
-0.88,5.38,1.0,0.0,0.0,-4.88,-74.89,1.0,-1.63,4.63,-5.75,0.61,-0.88,48.12,-0.75,1.12,-12.38,1.12,1.97,0.88,0.88,0.63,0.0,6.0,1.08,0.0,0.12,0
1.0,-6.87,2.0,0.0,2.0,11.02,-81.14,1.0,0.0,0.98,2.0,-1.95,4.0,-4.91,1.0,0.0,3.94,1.0,3.36,-0.98,1.0,2.8,0.0,6.0,0.9,0.0,0.02,0
-5.58,1.86,0.07,-0.93,-1.86,12.79,97.89,1.0,-1.86,0.93,9.44,5.94,-2.79,-67.92,-1.79,1.93,3.93,1.93,1.42,1.0,-0.93,-1.59,0.0,-207.07,1.14,0.0,-0.93,0
-2.46,0.0,1.0,-2.46,0.0,4.1,12.26,1.0,0.82,2.82,3.0,0.48,3.46,1.86,5.28,1.64,0.0,1.0,2.07,2.82,2.0,0.6,0.0,264.21,0.92,0.0,-0.82,0
0.0,0.0,2.16,0.0,0.0,12.32,119.17,1.0,1.68,3.68,4.52,1.75,2.0,36.17,1.84,0.0,4.21,1.0,0.55,1.32,5.16,2.52,1.0,-62.14,0.96,0.0,1.0,0
-2.0,2.0,1.0,0.0,0.0,6.66,-38.43,-5.01,-8.02,-3.68,-0.03,2.03,0.0,-34.77,-1.67,-1.0,1.33,2.0,34.01,0.0,1.67,0.16,0.0,-479.05,0.94,0.0,0.33,0
6.84,1.0,1.0,7.6,0.0,0.84,92.44,1.0,10.14,13.67,2.31,-0.94,6.0,155.36,0.31,-0.84,21.22,1.0,15.55,0.84,1.0,1.67,0.0,6.0,0.9,0.0,2.84,0
-8.1,16.2,1.0,-1.8,-1.8,6.8,162.28,1.0,0.0,2.7,4.7,5.52,-2.7,18.9,-3.5,1.8,8.4,1.1,-0.79,0.0,-1.7,-1.8,0.0,84.1,0.81,0.0,-2.7,0
1.58,-0.79,1.0,23.7,0.0,15.11,967.12,1.0,71.11,0.79,1.21,4.44,16.22,15.8,2.37,-0.58,24.12,-0.79,7.08,0.0,1.0,0.16,0.0,6.0,0.91,0.0,0.21,0
-0.54,-1.71,1.0,-0.54,0.54,2.71,-17.88,1.0,0.0,-2.71,-2.88,0.77,1.63,-28.74,3.63,-2.17,9.51,0.46,4.06,0.54,1.54,0.21,0.0,7.08,0.87,0.0,-0.54,0
0.0,-3.83,-0.61,36.21,0.0,-4.02,10.93,1.0,0.0,2.61,5.78,0.02,0.0,-10.82,1.2,-1.61,2.39,2.0,0.21,-0.8,0.2,0.4,0.0,10.02,0.45,0.0,1.61,0
5.0,5.0,3.0,0.0,-1.99,-10.95,71.24,1.0,1.0,39.99,33.97,-0.86,-3.98,130.84,2.0,1.0,11.98,2.0,7.56,0.0,0.0,-1.13,0.0,23.99,0.25,0.0,4.0,1
3.0,-9.48,1.0,1.0,2.0,8.0,113.81,1.0,2.68,3.03,8.74,-0.3,1.68,107.99,1.68,-0.68,8.0,2.35,4.54,2.0,1.68,1.19,0.0,6.0,0.99,0.0,0.32,0
0.0,1.0,1.0,0.0,0.0,19.0,74.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,13.0,2.0,8.0,7.0,2.0,1.2,0.0,6.0,0.95,0.0,2.0,0
13.43,1.0,1.0,11.06,15.43,0.28,47.94,1.0,-0.91,-0.91,-0.81,-0.7,5.0,102.64,-2.62,-1.81,3.81,1.0,6.32,1.09,0.09,3.9,0.0,-215.58,0.99,0.0,1.0,0
3.29,-1.8,2.0,1.0,2.0,-5.83,-132.53,1.0,2.0,-6.32,0.59,0.76,2.1,53.42,4.0,1.8,-38.71,1.0,-0.83,0.9,2.0,0.62,0.0,444.36,0.63,0.0,-0.71,1
0.0,2.63,2.63,0.0,0.0,11.4,59.05,1.0,0.0,-0.81,-8.95,3.8,2.44,0.0,2.81,1.0,9.33,2.0,-8.21,9.07,3.63,1.86,1.63,6.0,0.85,0.0,0.0,0
-23.47,-0.38,2.38,-20.01,13.8,-5.52,-963.31,1.0,-11.73,-36.27,-0.56,0.39,-1.38,-10.39,1.0,0.0,-28.51,-1.45,0.01,1.69,1.0,0.41,0.0,-205.19,0.98,0.0,-1.07,0
2.56,8.25,19.0,16.0,11.0,29.87,441.33,1.0,-1.13,-0.56,-0.38,-0.17,14.0,104.85,0.44,0.0,0.49,1.0,13.62,2.0,2.56,4.11,0.0,11.42,0.77,0.0,4.44,1
0.38,0.0,-0.85,0.0,11.7,-7.62,58.77,1.0,-0.23,4.0,14.08,0.42,-5.62,44.0,2.77,-0.62,8.46,1.0,1.03,3.0,2.38,1.48,0.0,6.0,0.97,0.0,2.0,0
4.0,7.31,2.31,-1.96,0.0,3.92,-26.93,1.0,1.0,4.0,9.12,-0.76,0.0,9.7,2.31,0.35,14.57,2.65,7.6,3.92,1.96,1.8,1.31,9.0,0.82,0.0,0.69,0
0.59,-0.59,-0.18,5.29,0.0,11.71,50.43,1.0,4.7,9.64,-0.47,1.03,1.24,62.16,-1.94,0.0,4.83,2.0,4.93,2.59,3.0,1.29,0.0,6.0,0.87,0.0,0.41,0
0.94,-3.78,1.0,0.0,0.0,1.22,-408.41,1.0,-5.67,0.0,-48.11,5.13,0.94,0.0,1.89,-3.28,-7.5,-1.89,-0.2,2.94,2.89,-0.28,0.0,41.89,0.86,0.0,-0.94,0
-6.01,1.75,1.0,6.76,-3.76,7.25,108.06,1.0,10.02,14.27,-0.51,1.56,-2.76,128.12,0.25,0.0,-2.76,2.0,1.27,0.0,0.25,0.45,0.0,6.0,0.83,0.0,1.0,0
-2.73,7.05,1.0,0.0,-0.68,5.59,280.48,-0.36,2.0,2.59,20.18,0.82,0.0,59.81,1.95,2.0,24.64,0.32,3.25,0.0,0.0,0.36,0.0,-306.98,0.74,0.0,2.0,0
-5.03,0.0,1.0,20.96,-1.68,12.54,1022.86,1.0,76.28,2.51,2.84,1.58,14.25,1.68,8.51,1.0,27.99,1.0,6.85,-0.68,1.16,1.0,0.0,-185.12,0.96,0.0,-0.84,0
1.0,1.0,1.0,0.0,0.0,12.0,203.96,1.0,1.0,7.0,11.4,0.58,1.32,82.72,4.0,1.0,18.08,2.0,7.62,-1.36,-0.36,1.19,0.0,-26.08,0.75,0.0,3.36,1
-7.15,14.3,0.11,-1.58,7.15,8.11,133.49,1.0,0.0,-0.89,-4.15,5.04,-0.89,16.88,2.0,3.0,-5.73,1.11,1.55,1.79,3.79,-0.44,0.0,30.76,0.99,0.0,2.11,0
0.0,1.0,5.0,-0.91,0.0,14.17,35.65,1.0,0.0,6.0,2.0,-2.72,12.09,-69.31,5.74,-0.91,23.74,1.91,12.6,5.09,3.83,3.5,2.0,62.61,0.24,0.0,0.09,1
1.0,12.0,1.0,1.0,-0.99,0.99,35.98,1.0,0.0,4.01,1.0,0.33,0.0,0.48,2.99,0.0,6.99,1.0,1.8,1.0,1.99,-0.15,0.0,-74.42,0.96,0.0,1.99,0
-0.51,2.51,2.0,0.0,0.0,12.09,236.45,1.0,1.0,0.0,17.47,1.01,3.53,0.51,3.0,1.02,17.0,1.0,2.44,1.0,1.0,1.62,0.0,6.0,0.94,0.0,2.51,1
-1.78,0.0,1.0,-1.18,0.41,1.41,26.82,1.59,0.0,1.59,6.55,0.27,1.0,38.77,2.78,0.0,1.59,1.0,3.3,1.0,1.0,1.3,0.0,195.39,0.95,0.0,0.0,1
2.57,3.43,1.86,3.0,0.0,20.86,943.89,1.0,0.86,12.0,56.43,6.36,1.71,122.29,1.71,3.0,38.72,0.0,7.6,-0.86,0.0,0.86,0.0,48.0,0.95,0.0,2.71,1
14.2,19.26,1.0,15.97,6.1,-1.87,433.96,4.81,7.71,37.02,56.13,0.09,0.24,103.63,3.0,8.76,26.8,1.24,5.91,0.76,0.0,0.69,0.0,141.76,1.01,0.0,3.76,1
1.0,4.0,1.0,0.0,0.0,5.68,58.95,1.0,0.0,-3.09,0.0,0.87,0.0,67.73,2.68,0.0,6.09,1.0,2.8,1.0,2.0,1.35,0.0,6.0,1.18,0.0,1.0,0
0.86,1.66,2.66,0.52,1.03,12.45,241.99,1.0,3.31,1.66,9.28,0.57,5.75,55.43,5.14,0.0,20.57,1.0,4.5,0.34,1.17,1.56,0.17,8.92,0.98,0.0,2.0,1
-0.92,-3.61,1.0,-0.92,0.0,-4.61,-59.09,1.0,0.0,-5.45,6.79,0.5,0.0,-71.91,1.92,-3.68,6.0,1.08,1.75,1.0,1.92,-0.21,0.0,6.0,0.87,0.0,-0.84,0
