CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Min,Del_lines,OWN_LINE,MAJOR_LINE,target
0.0,0.0,1.0,-0.72,0.0,-2.9,1.72,24.8,1.0,3.9,9.25,0.66,-1.45,163.78,3.28,0.0,2.72,1.72,3.57,3.0,-2.35,0.0,0.0,0.67,0.0,0
0.0,0.0,1.0,1.0,0.0,1.53,2.0,38.14,1.0,4.49,5.0,-0.0,0.0,78.0,1.47,0.0,19.0,2.51,4.41,0.0,-1.53,0.0,-2.56,0.28,0.49,0
0.0,0.0,1.0,0.9,1.0,0.9,1.1,9.67,2.0,3.21,0.31,0.43,2.69,64.78,4.69,0.9,1.0,2.0,0.04,1.0,-0.79,0.0,21.49,1.14,1.1,0
0.0,-11.17,1.0,2.72,0.0,-0.86,2.86,102.08,1.0,3.0,9.0,0.06,0.86,89.0,2.0,0.0,19.86,2.0,1.94,-0.86,1.0,0.0,1.0,0.94,0.0,1
0.0,0.0,1.0,0.91,0.0,11.54,2.0,148.5,1.0,-2.54,1.18,1.09,2.0,32.09,0.18,0.0,-10.81,0.09,3.12,1.91,5.91,0.0,3.63,0.88,0.09,0
0.0,4.0,1.0,0.74,0.0,11.12,2.48,25.63,1.0,0.0,0.0,-0.3,7.41,0.0,3.71,-0.74,1.74,0.74,2.48,2.48,13.34,0.74,0.74,0.85,0.74,0
45.0,0.0,1.0,47.1,173.0,0.78,1.78,202.93,30.0,28.78,156.08,-0.27,0.78,127.45,2.0,0.0,34.98,1.0,6.04,0.78,1.0,0.0,0.0,0.77,1.55,0
3.75,0.0,0.37,0.37,0.0,3.0,1.75,93.2,1.0,1.0,12.26,1.69,0.0,55.48,1.0,0.0,11.63,2.0,6.79,2.0,1.0,0.0,0.0,0.64,1.0,0
0.0,0.0,1.0,-0.65,0.0,4.4,2.0,58.65,1.0,2.0,2.65,1.42,-0.3,41.0,0.35,1.0,-0.65,2.0,4.15,2.65,-1.9,0.0,0.0,1.32,0.0,0
0.0,0.0,1.0,-0.43,0.0,1.43,0.28,31.3,0.28,1.0,0.0,2.32,-0.72,71.35,4.28,0.0,-1.15,1.0,-0.79,0.0,2.0,0.0,-41.55,0.64,0.0,0
-3.81,-0.64,1.0,-3.18,-1.91,3.36,0.36,-464.12,-2.81,-13.35,-39.42,2.24,1.0,-61.67,3.64,-1.27,-31.24,-4.09,-0.44,0.0,3.54,0.0,-6.99,0.81,1.0,0
0.81,0.0,2.0,1.81,0.81,0.0,2.0,37.5,2.0,3.0,5.23,-0.5,0.0,127.41,3.81,0.0,14.81,2.81,6.84,0.19,1.0,0.0,0.0,0.33,0.0,0
5.71,9.95,1.0,4.76,2.86,1.9,1.95,808.23,6.71,19.04,58.07,0.89,0.0,92.34,-1.9,3.9,55.21,7.62,5.66,0.05,-1.9,0.0,10.47,0.53,1.95,1
0.0,0.0,2.18,1.0,0.0,0.0,3.76,32.41,3.0,0.41,2.0,-0.34,1.18,66.0,1.41,0.0,8.65,2.0,3.36,-0.18,1.0,0.0,0.0,0.65,2.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,1.0,1.72,0.0,-1.43,0.0,0.0,3.43,-0.72,2.72,1.72,0.64,-0.72,1.0,0.0,0.0,0.81,0.0,0
1.0,0.0,1.0,1.0,0.0,0.0,2.0,18.0,4.0,2.0,1.0,0.74,0.0,107.81,4.99,-2.99,1.01,0.01,-1.29,-1.0,2.99,0.0,0.0,1.25,1.0,0
0.0,-6.79,1.0,-0.68,0.0,5.0,2.36,46.53,1.68,3.4,-2.04,1.99,1.68,6.79,4.36,2.68,1.32,1.0,3.55,5.0,1.0,0.0,0.0,1.27,0.0,0
0.0,4.7,0.48,-0.52,0.0,3.05,1.48,69.36,0.48,-1.57,1.95,1.69,0.0,26.51,1.48,0.52,-2.32,0.48,0.25,-0.52,0.48,0.0,0.0,0.57,0.0,0
2.0,-8.73,1.0,1.0,0.0,0.0,3.34,21.0,1.0,5.0,9.69,-0.32,0.0,105.19,2.67,0.66,2.64,3.67,20.76,1.34,0.67,0.0,31.0,0.57,2.34,0
0.0,3.0,1.0,-0.69,0.0,4.0,1.69,41.9,0.31,2.76,4.83,5.71,0.0,11.73,0.69,1.0,1.38,0.0,1.93,0.0,0.69,0.0,0.0,0.63,0.0,0
0.0,0.0,1.0,0.0,0.0,2.22,1.0,57.44,1.0,0.59,0.0,0.86,1.0,0.0,3.59,0.0,5.59,1.0,4.95,2.38,1.59,0.0,0.0,0.55,0.41,0
0.0,-4.66,1.0,1.04,0.0,6.59,1.52,102.42,1.0,0.0,1.55,1.09,1.0,39.87,3.52,-1.04,8.11,1.52,3.23,0.0,1.52,0.0,2.59,0.44,0.48,0
0.0,0.0,1.0,-0.77,0.0,5.0,1.0,50.16,1.0,0.0,1.54,0.68,1.0,-38.4,2.23,2.0,2.0,1.77,3.99,1.93,1.0,0.0,0.0,1.38,0.0,0
0.0,0.0,1.0,0.0,0.0,1.31,1.0,50.93,1.0,0.67,3.36,1.2,0.33,51.04,2.33,0.0,3.66,1.0,2.19,0.67,1.0,0.0,0.0,0.52,1.67,0
0.0,0.0,0.19,-0.81,1.0,5.64,2.0,69.91,1.19,4.19,3.81,0.44,1.61,53.42,1.19,0.0,-9.47,1.19,2.3,1.0,4.22,0.0,0.0,0.99,2.81,0
0.0,0.0,-0.75,1.75,0.0,0.87,-0.75,36.25,1.87,0.0,0.0,0.95,-0.87,34.99,1.0,0.0,2.62,2.87,4.19,0.0,-2.62,0.0,50.73,1.0,0.0,0
0.0,4.0,1.0,0.0,0.0,-2.62,1.0,-1.29,1.0,0.0,0.0,1.43,-0.52,0.0,-1.05,-0.52,1.52,0.52,-1.08,-1.62,0.0,0.0,0.0,0.83,0.0,0
4.0,-3.85,1.0,8.0,3.0,3.46,2.0,74.23,1.0,0.0,3.0,1.13,0.0,80.0,-0.54,-0.77,8.77,0.23,6.87,1.77,1.0,0.0,0.0,1.39,0.0,0
-4.63,0.0,1.0,-0.93,0.0,3.7,0.07,38.22,1.0,1.93,-2.78,1.2,1.85,-27.78,3.93,0.0,-6.26,0.07,2.99,3.07,8.7,0.0,0.0,1.27,0.0,0
2.0,8.42,1.0,1.0,0.0,1.94,1.0,37.06,5.0,0.06,0.32,1.56,1.0,-1.11,2.94,0.94,4.13,2.0,0.25,-0.94,-0.94,0.0,0.0,0.04,1.06,0
0.0,0.0,1.0,4.52,0.0,-1.1,2.52,66.76,1.0,3.62,17.62,-0.75,0.48,128.85,-0.05,0.0,16.86,2.52,7.43,1.0,0.48,0.0,0.52,0.48,2.52,1
-1.09,0.0,0.45,-0.55,0.0,0.0,1.91,17.36,1.0,0.55,3.45,1.04,0.0,59.77,2.09,0.0,1.09,1.0,26.78,3.64,1.55,0.0,0.0,0.47,2.0,0
0.0,7.64,1.0,0.0,1.0,0.59,2.0,39.88,1.41,5.0,3.59,0.29,0.0,74.71,2.0,0.0,1.0,2.0,4.09,1.0,1.59,0.0,0.0,0.8,2.0,0
0.0,0.0,1.0,1.79,0.0,-3.94,1.0,-40.93,1.0,1.0,0.79,1.46,0.79,88.19,5.0,0.0,-2.15,1.79,0.23,-0.79,1.0,0.0,-3.94,0.68,0.0,0
0.0,1.0,1.0,0.0,-0.74,4.0,-0.47,19.12,1.0,-1.47,0.0,6.29,0.0,0.0,-0.74,1.47,16.91,0.74,0.49,1.0,-0.74,0.0,0.0,0.55,-2.21,0
0.0,0.0,1.0,0.0,0.0,4.0,1.0,61.0,1.0,0.0,0.0,1.91,1.0,0.0,3.0,0.0,4.0,1.0,2.57,0.0,1.0,0.0,0.0,0.85,0.0,0
-26.22,0.0,1.0,-25.06,-100.81,4.0,1.0,-11.26,-15.9,-15.73,-85.07,2.72,1.0,1.17,4.75,0.0,-11.73,1.0,1.74,0.0,1.58,0.0,0.0,0.85,0.0,0
0.0,2.64,1.0,4.0,0.0,-2.52,3.76,65.41,1.88,5.4,15.88,-1.65,1.0,151.33,1.0,-0.88,7.24,2.88,4.12,-2.52,1.0,0.0,0.0,0.7,2.0,0
-27.33,0.0,1.0,-27.33,-109.97,0.0,1.64,-61.64,-17.43,-13.62,-88.36,1.54,0.0,-12.08,3.0,1.27,-9.98,2.27,2.58,2.0,2.36,0.0,19.71,0.65,0.64,0
0.0,0.0,1.0,-0.56,0.0,0.0,2.0,24.63,1.0,3.44,10.0,-0.27,0.0,31.82,-0.25,0.56,4.12,2.56,2.03,1.0,0.44,0.0,0.0,0.53,0.0,0
0.0,0.0,1.0,0.0,0.7,-1.5,2.7,37.19,1.0,0.7,3.7,-0.65,-0.7,90.41,2.0,-1.4,4.3,1.0,-0.28,-3.5,1.0,0.0,0.0,0.44,0.7,0
0.0,0.0,1.0,0.0,-0.8,0.0,0.2,23.0,1.0,-0.8,0.0,2.08,0.0,0.0,1.0,0.0,0.0,2.0,2.16,0.0,-0.8,0.0,0.0,1.18,0.0,0
0.0,0.0,1.0,0.0,0.0,1.9,1.0,23.01,1.0,0.0,0.0,1.22,0.23,0.0,1.45,3.55,18.27,1.77,3.45,5.0,0.23,0.0,0.0,1.12,-0.77,0
-0.52,0.0,2.05,-2.1,0.0,-0.52,2.05,13.38,-0.05,0.0,2.0,0.68,1.05,1.24,1.0,0.0,-3.15,1.48,2.17,0.0,2.05,0.0,0.0,1.23,-0.52,0
-3.27,-0.54,2.09,-2.72,-1.63,-2.18,2.09,-375.69,-2.27,-11.43,-20.75,2.38,1.09,-2.8,2.54,-1.09,-31.11,-3.35,4.97,0.0,2.63,0.0,-5.99,1.25,-0.54,0
0.0,0.0,1.0,2.66,0.11,0.0,1.89,17.37,1.11,1.14,5.03,0.28,0.89,65.43,1.0,0.0,2.0,2.0,2.29,0.0,1.0,0.0,0.0,0.98,0.11,0
0.94,0.0,1.0,-0.94,0.94,-0.69,0.06,-6.55,1.0,0.0,1.88,1.46,1.0,-0.94,3.94,0.0,0.25,2.88,4.7,-0.94,1.0,0.0,-4.69,0.7,0.0,0
0.0,0.0,1.87,0.87,0.0,-2.62,3.87,23.36,1.87,2.62,5.74,-1.4,0.0,96.58,1.87,0.0,10.47,1.87,29.93,2.87,-1.62,0.0,0.0,0.03,1.13,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.25,1.0,1.0,0.0,1.03,0.0,0.0,3.95,0.0,4.95,1.0,5.17,5.8,7.75,0.0,0.0,0.69,0.0,0
0.0,0.0,1.0,1.0,0.82,8.0,0.18,68.82,1.0,0.82,-2.46,0.91,5.0,18.46,6.64,1.0,1.82,1.0,-19.35,-0.64,3.0,0.0,24.0,1.24,-0.82,0
0.0,0.0,1.0,0.0,0.64,0.0,2.28,21.1,1.0,1.64,0.0,0.87,0.0,0.0,4.0,0.0,0.64,1.0,0.05,0.0,3.64,0.0,7.0,0.93,2.91,0
0.0,0.0,1.0,0.0,0.0,0.0,1.74,23.21,1.0,2.95,3.69,-0.83,0.0,-16.22,-0.47,2.0,39.27,2.74,2.07,0.0,-1.47,0.0,0.74,0.33,0.74,1
0.0,0.0,1.0,0.71,0.0,9.83,3.41,66.49,1.0,3.41,4.12,0.25,3.83,49.49,1.0,3.12,1.41,2.0,9.16,4.12,1.29,0.71,0.0,0.95,-0.71,0
0.0,-1.75,1.0,1.58,0.0,2.75,0.84,41.85,0.42,0.09,7.42,1.12,0.58,45.07,3.0,-0.58,12.16,0.42,2.1,1.0,4.49,0.0,0.0,0.59,0.0,0
0.0,0.0,1.0,0.46,0.0,1.61,1.0,29.22,1.0,0.46,0.0,1.68,0.0,46.33,2.85,0.0,0.46,1.54,1.18,0.0,0.46,0.0,0.0,0.51,0.0,0
0.0,0.0,1.0,0.0,0.0,7.0,3.19,82.81,1.0,2.0,5.38,0.25,2.0,56.25,2.0,-0.6,-0.79,0.4,18.69,2.19,5.0,0.0,0.0,0.5,2.19,0
0.0,0.0,1.0,0.58,-0.58,0.0,1.0,20.42,1.0,1.74,3.9,1.35,0.0,45.18,4.58,0.0,9.85,1.58,3.43,1.0,0.42,0.0,0.58,0.48,0.58,0
0.87,0.87,1.0,1.87,0.0,-12.16,1.13,55.59,6.48,3.61,17.64,-0.21,-8.69,143.33,-1.48,0.0,27.51,2.87,3.78,-0.74,-13.77,-0.87,-0.87,0.24,2.87,0
0.0,0.0,1.0,1.39,0.0,-0.81,1.19,-16.22,1.0,0.0,1.58,0.81,1.81,-0.02,2.61,0.0,1.19,2.0,1.75,-0.81,1.0,0.0,-4.03,0.79,0.81,0
2.86,0.0,1.0,0.57,0.0,1.72,2.14,41.32,1.0,0.57,2.86,1.33,0.0,36.06,0.43,0.0,7.72,2.57,1.45,0.0,1.0,0.0,0.0,0.62,0.57,0
0.0,0.0,1.0,0.67,0.0,0.67,1.67,43.4,1.0,3.01,4.68,-0.33,0.0,58.2,1.33,0.0,9.36,1.0,1.91,0.0,1.0,0.0,0.0,0.97,0.0,0
0.0,0.0,1.0,0.56,0.0,-2.25,1.0,-3.16,1.56,0.0,1.69,-0.27,-0.56,39.89,-0.12,1.0,1.31,2.56,1.05,0.56,0.44,0.0,0.0,0.53,0.0,0
5.0,-1.71,1.0,1.0,3.0,1.71,3.0,53.68,2.0,0.0,2.44,0.57,0.85,25.71,4.71,14.0,5.27,-0.71,17.51,1.15,2.0,0.0,1.0,0.71,1.85,0
0.0,0.0,1.0,0.0,-0.83,0.0,-0.66,12.68,1.0,-1.66,0.0,6.12,0.0,0.0,-0.83,1.0,0.17,0.83,0.39,1.0,0.0,0.0,0.0,1.05,-2.5,0
0.0,0.0,1.0,0.0,0.0,3.0,1.0,36.94,1.0,0.99,-1.97,2.44,0.0,-49.35,1.99,0.0,1.97,1.01,-0.15,0.0,-0.99,0.0,0.0,0.49,0.0,0
4.0,-0.86,1.0,8.86,3.0,1.57,2.86,101.85,2.71,0.86,4.71,-4.14,0.0,136.52,2.71,0.0,17.42,2.71,8.62,1.0,1.86,0.0,0.0,0.77,1.71,0
-0.57,-0.57,1.0,-1.14,0.57,-0.57,1.0,-1.88,-1.29,-1.14,-8.72,1.6,0.0,-26.88,5.14,0.0,-11.44,0.43,0.95,0.43,1.0,0.0,0.0,0.8,-0.57,0
0.0,0.0,1.0,0.0,0.0,-0.61,1.0,26.0,1.0,0.0,0.92,2.8,0.08,0.0,5.0,0.0,1.24,1.0,2.05,1.84,1.0,0.0,0.0,0.95,0.0,0
0.0,8.68,1.0,0.0,1.0,0.0,2.0,21.35,1.0,2.0,0.0,0.69,0.0,0.0,1.04,1.93,2.0,-0.93,0.49,0.96,1.0,0.0,0.0,0.76,0.96,0
-2.05,0.0,3.0,-4.1,-1.54,-2.56,3.49,-17.91,1.0,0.0,-1.54,0.32,2.0,-40.99,2.0,0.51,-2.56,1.51,-1.39,-0.51,3.0,0.0,0.0,0.83,0.0,0
0.0,0.0,1.0,0.0,-0.88,0.0,0.12,19.0,0.12,-2.51,-0.63,2.02,0.0,29.77,4.0,0.0,2.88,0.12,1.81,2.12,2.0,0.0,0.0,0.46,-1.76,0
2.0,0.0,1.0,1.0,0.0,2.6,2.0,34.88,1.0,4.13,7.0,-0.13,0.0,79.0,-0.6,2.0,6.0,3.87,4.5,0.0,-2.6,0.0,24.93,0.52,0.13,1
1.53,0.0,1.76,0.76,1.0,-1.53,3.53,24.76,2.0,4.24,4.53,-0.72,0.0,127.39,1.24,0.0,0.24,2.0,4.07,0.24,0.24,0.0,0.0,0.48,2.0,0
0.0,13.0,1.0,0.0,0.0,2.14,1.0,-18.85,1.0,0.0,-9.28,0.47,0.0,-35.71,0.0,2.0,5.71,0.0,-3.92,0.0,2.14,0.0,0.0,0.98,0.71,0
-3.53,0.0,1.0,0.29,0.71,-2.12,0.29,5.5,1.0,1.71,-4.24,1.95,0.0,55.47,5.71,0.0,-5.36,0.29,-2.13,-1.41,1.0,0.0,0.0,0.84,-0.71,0
1.14,0.0,2.0,1.57,-0.57,0.0,2.0,25.29,1.43,3.0,4.29,0.11,0.0,65.43,3.0,1.14,16.86,2.57,3.99,0.43,0.43,0.0,17.71,0.51,-0.57,1
0.0,10.73,1.0,0.0,0.0,2.58,2.15,50.48,1.58,2.3,0.58,1.38,0.58,41.44,2.0,1.58,-2.3,1.58,0.19,-0.58,-1.15,0.0,0.0,0.67,0.0,0
0.0,11.16,1.0,0.0,0.0,6.16,1.0,84.95,1.0,-0.58,1.74,4.19,0.0,34.87,-1.16,3.0,-0.32,1.16,2.9,-0.58,-1.16,0.0,0.0,0.52,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.13,15.53,1.0,-3.47,-4.34,3.88,0.0,19.1,2.74,0.0,-13.63,1.13,-2.38,0.0,1.87,0.0,-0.87,1.0,-0.87,0
-0.62,0.0,1.0,-0.62,-0.62,4.0,1.0,56.07,1.0,0.0,-2.46,2.64,1.0,-46.82,4.23,0.0,2.77,-0.23,-0.09,0.62,1.0,0.0,0.0,0.85,0.0,0
0.0,0.0,1.0,2.97,0.0,1.0,2.0,36.7,2.0,0.97,-1.95,1.1,1.0,88.65,5.89,0.0,3.97,1.03,2.7,0.0,0.97,0.0,58.0,1.0,0.0,0
0.0,0.0,1.0,0.0,1.0,-2.29,3.76,51.92,1.0,4.29,6.11,-1.01,-1.53,66.47,2.0,0.0,9.88,1.0,2.17,0.0,-3.58,0.0,0.0,1.23,3.0,0
0.0,2.0,1.0,0.0,0.0,-2.5,1.0,-8.96,1.0,0.0,0.62,2.41,-0.62,0.0,0.62,2.0,-2.5,0.0,0.23,1.62,0.0,0.0,0.0,0.8,0.0,0
0.0,0.0,1.0,-0.91,0.0,4.09,1.91,30.88,1.0,-2.72,-3.63,1.09,1.0,-43.55,0.19,0.0,-5.98,1.0,24.46,0.91,1.0,0.0,0.0,0.62,1.81,0
0.0,6.39,1.0,0.58,0.0,3.42,1.0,61.0,1.0,0.0,0.58,1.61,1.0,1.16,3.0,0.0,4.58,0.42,3.35,0.0,1.0,0.0,0.0,0.99,0.0,0
1.0,1.0,1.0,1.17,0.0,0.17,2.0,38.32,6.67,3.83,13.83,0.24,0.0,77.33,0.17,0.83,12.66,2.83,1.59,0.17,1.0,0.0,0.0,0.53,2.0,0
0.0,0.0,1.0,0.0,-0.82,0.0,-0.64,9.46,1.0,-1.64,3.0,0.81,0.0,44.0,0.18,0.82,0.0,1.82,13.9,1.0,1.0,0.0,0.0,0.77,-2.45,0
0.0,0.0,1.0,2.9,0.0,0.73,2.73,70.78,1.0,4.0,20.88,-0.05,0.73,151.8,1.27,0.0,8.08,2.73,6.1,1.73,1.0,0.0,0.0,0.64,1.45,0
0.0,0.0,1.0,1.0,0.94,0.0,2.94,20.0,1.0,1.88,3.0,-0.24,0.0,56.0,1.94,0.0,2.88,0.06,2.74,2.0,1.94,0.0,0.0,0.79,0.0,0
0.0,0.0,1.0,-0.78,0.0,-5.47,-0.56,16.31,1.0,-1.56,-1.56,4.2,-3.13,23.46,-0.78,1.78,0.22,1.56,-2.35,-0.56,-2.35,-0.78,0.0,0.87,0.0,0
0.0,0.0,1.0,0.52,0.0,0.52,1.52,34.08,1.0,2.56,5.64,0.77,0.0,145.24,4.52,0.0,7.2,1.0,3.45,2.48,2.0,0.0,0.0,0.45,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.05,1.0,0.0,1.0,0.98,0.0,0.0,0.24,0.0,2.76,1.0,2.77,2.0,-0.76,0.0,-6.17,0.86,-0.88,0
0.0,1.0,1.0,0.0,0.0,1.62,1.0,1.17,1.0,0.6,0.0,6.01,-0.6,0.0,-0.6,0.0,-1.19,0.0,-0.13,1.0,-0.6,0.0,0.0,0.83,0.0,0
0.0,0.0,1.0,1.0,0.0,0.0,2.0,30.0,1.0,5.0,5.0,0.13,0.0,78.0,3.0,0.0,19.0,2.0,3.74,0.0,0.0,0.0,1.0,0.52,1.0,1
0.0,0.0,1.0,1.47,0.0,0.74,1.74,24.69,1.74,0.0,0.26,1.19,0.74,29.49,0.53,0.0,3.21,1.74,3.84,1.26,0.26,0.0,42.77,1.27,0.0,0
0.0,0.0,1.0,0.2,0.0,0.0,1.8,25.4,2.6,3.4,2.4,0.02,0.0,78.42,1.6,0.8,1.0,1.8,1.33,0.0,2.0,0.0,0.0,1.28,0.0,0
2.05,0.0,1.0,4.58,1.53,2.56,1.51,63.83,1.0,1.0,1.53,1.04,0.0,89.77,4.49,0.0,5.09,1.0,2.07,-1.53,1.0,0.0,0.0,0.78,0.0,0
2.45,0.0,1.0,2.83,0.0,2.45,2.22,43.51,1.0,1.0,0.0,0.77,0.61,71.25,2.78,0.0,1.0,1.0,3.01,0.61,1.39,0.0,121.72,1.0,0.0,0
1.2,3.0,1.0,0.6,0.0,-0.8,3.6,27.39,2.0,8.0,5.2,-0.68,1.0,119.45,3.6,2.2,3.6,2.6,3.54,1.0,1.0,0.0,18.62,1.27,0.6,0
0.0,0.0,1.0,0.69,0.0,-4.83,1.0,1.68,1.0,2.07,2.07,-0.58,-0.69,25.53,2.38,1.31,39.11,2.0,0.21,-1.38,-1.38,0.0,0.69,0.35,0.69,0
0.0,0.0,1.0,-0.94,0.0,0.0,0.06,-83.2,1.0,-1.81,-7.49,2.91,0.0,-83.29,5.87,0.0,-17.78,0.06,-2.71,0.94,3.0,0.0,6.06,0.99,1.0,0
-36.41,0.0,1.0,-35.6,-139.16,4.0,1.81,-44.99,-22.46,-21.85,-117.32,1.74,1.0,-45.31,3.81,0.0,-16.85,1.0,2.34,0.0,1.0,0.0,0.0,0.4,1.81,0
0.0,-2.79,2.0,1.93,0.0,-3.72,2.0,19.57,2.0,3.93,2.0,-3.94,0.0,158.93,7.65,-0.93,14.93,2.93,2.43,1.0,2.86,0.0,0.0,0.82,0.0,0
1.0,0.0,1.0,4.0,0.0,5.07,2.58,47.7,3.0,0.58,0.0,-0.01,0.58,58.66,0.25,0.58,4.84,2.58,1.29,-0.58,1.0,0.0,0.0,0.85,1.0,0
0.63,0.0,1.0,0.63,0.63,0.0,1.0,29.0,1.0,0.37,3.13,-0.23,0.0,47.52,1.37,0.0,0.75,2.25,3.16,-1.25,-0.25,0.0,0.0,0.77,0.0,0
0.71,0.0,1.0,2.0,0.0,-1.86,2.71,-4.02,4.14,0.71,1.43,-0.96,0.29,75.74,-0.14,0.71,2.29,2.71,3.01,0.0,0.0,0.0,58.0,1.02,0.71,0
0.0,0.0,1.0,0.0,0.0,2.93,1.0,50.33,1.0,1.0,0.0,-0.52,0.73,0.0,4.2,-0.73,4.93,1.73,1.82,-0.73,0.73,0.0,0.0,0.66,0.73,0
0.0,0.0,1.0,0.0,0.0,1.39,1.0,19.48,1.0,1.7,0.0,1.96,0.0,0.0,5.39,0.0,0.0,0.3,-0.23,0.0,3.7,0.0,7.0,1.1,1.0,0
0.0,0.0,1.0,2.0,0.0,5.0,2.0,101.0,1.0,0.0,3.0,0.8,0.0,77.0,1.0,0.0,6.0,1.0,3.38,1.0,1.0,0.0,5.0,0.8,0.0,1
0.0,9.0,1.0,0.0,0.0,4.79,0.07,41.14,1.0,0.0,-2.79,2.6,0.93,-56.82,2.0,1.0,-0.93,1.0,0.53,0.0,0.0,0.0,0.0,0.91,0.0,0
1.14,0.0,1.57,1.57,0.0,0.0,2.0,128.71,1.0,3.0,8.43,0.3,0.0,102.14,2.57,0.0,19.0,2.0,-9.25,-1.14,1.0,0.0,1.0,0.62,-1.14,1
-36.7,0.0,1.0,-35.88,-140.08,0.0,2.0,-79.09,-22.65,-20.83,-118.25,1.3,0.0,-79.92,1.18,0.0,-20.02,1.82,-0.79,0.82,1.0,0.0,0.0,0.62,0.0,0
2.4,0.0,1.0,4.79,1.8,3.0,1.6,66.55,1.0,1.0,1.8,0.68,0.0,47.94,2.0,0.0,5.6,0.4,4.32,0.6,0.0,0.0,0.0,1.0,0.0,0
9.88,0.0,1.0,1.98,0.0,5.93,4.95,99.98,1.0,1.98,11.85,-1.81,0.0,124.43,1.0,0.0,19.78,2.0,8.96,3.95,1.0,0.0,0.0,-0.33,1.98,0
-0.94,4.0,1.0,-0.94,-0.94,0.94,1.0,30.08,1.0,0.94,0.0,2.7,0.0,0.0,-0.94,0.0,1.0,-1.88,-2.42,1.94,0.0,0.0,0.0,1.34,0.94,0
0.0,0.0,1.0,1.0,0.0,-3.27,1.0,-5.73,1.0,1.0,0.82,1.58,-0.82,100.0,4.18,0.0,-1.45,1.0,0.53,1.64,2.0,0.0,0.0,1.04,0.0,0
0.0,-2.14,1.0,1.53,0.0,4.27,1.0,48.78,1.0,0.0,0.0,1.8,2.67,108.55,4.67,0.53,0.0,1.53,4.0,4.0,2.6,0.0,12.82,0.46,0.0,0
0.0,0.0,1.0,1.0,0.0,2.46,2.0,154.71,1.0,2.38,9.0,0.85,0.62,89.0,3.23,0.0,19.62,2.0,3.35,-2.46,-1.46,0.0,1.0,0.56,0.0,1
0.0,0.0,1.0,1.0,0.0,10.83,3.0,105.87,0.04,2.0,5.87,1.25,3.04,47.46,1.04,3.0,6.87,0.04,7.56,3.96,3.96,1.0,-50.79,0.7,0.0,0
0.0,1.0,1.0,0.92,0.0,0.33,1.0,-7.15,1.0,0.92,0.0,6.63,-0.92,91.84,1.84,0.0,-3.67,0.0,-0.44,1.0,0.0,0.0,0.0,0.73,-0.92,0
0.0,0.0,3.0,-1.59,0.0,-0.8,3.2,12.03,0.2,0.8,0.0,1.12,1.2,-31.86,2.8,0.0,0.0,0.2,1.13,3.19,6.98,0.0,-46.2,1.0,0.0,0
0.0,10.0,1.0,0.0,0.0,11.79,0.15,111.73,1.0,0.0,-2.55,4.65,4.24,-33.94,3.39,3.85,2.0,0.0,-0.86,-0.85,1.7,0.0,20.37,0.56,0.0,0
4.0,0.0,1.0,7.03,3.0,1.1,2.0,45.3,1.0,2.92,7.87,0.48,0.0,89.74,2.95,0.0,12.87,1.0,5.61,1.0,1.0,0.0,-4.87,1.08,0.0,0
33.65,0.0,1.0,32.15,129.37,4.25,0.25,104.53,22.69,18.69,103.19,2.74,0.0,8.23,0.25,0.0,16.71,2.0,-0.33,-0.75,2.0,0.0,0.0,0.62,0.0,0
0.0,0.0,1.0,-0.91,0.0,-0.96,1.04,-18.2,1.0,0.0,0.13,1.57,0.96,-17.54,4.82,0.0,-0.91,1.0,3.48,1.04,1.0,0.0,-4.78,1.14,0.0,0
0.0,0.0,1.0,0.6,0.0,-3.01,2.0,26.8,1.0,4.6,10.0,-0.7,0.0,148.18,4.41,0.0,1.19,1.4,2.39,1.0,1.0,0.0,0.0,1.01,0.0,0
4.51,0.0,1.0,0.9,0.0,3.1,2.8,60.1,1.0,0.9,5.41,0.84,0.1,56.81,1.2,0.0,9.41,1.9,4.35,1.8,1.0,0.0,0.0,0.77,0.0,0
0.0,-7.08,1.0,1.0,0.0,-3.54,2.0,-5.95,3.0,1.0,4.12,-2.66,0.0,97.16,2.71,-2.12,9.58,2.71,12.04,1.71,1.71,0.0,0.0,0.74,2.0,0
-0.94,0.0,1.0,0.0,-0.94,0.0,1.94,24.75,2.87,0.94,-1.81,2.01,0.0,-9.37,2.0,0.0,9.43,0.06,0.4,2.94,1.0,0.0,0.0,0.85,1.87,0
0.0,-3.01,1.0,0.0,0.0,0.0,1.0,24.76,1.0,0.0,1.75,1.36,0.0,0.0,5.5,0.0,0.0,1.75,2.09,1.75,1.75,0.0,0.0,0.63,0.0,0
